State,Date,Deaths,Confirmed
Baden-Württemberg,2020-04-30,1353.0,31609
Baden-Württemberg,2020-05-01,1385.0,31919
Baden-Württemberg,2020-05-02,1402.0,32146
Baden-Württemberg,2020-05-03,1412.0,32291
Baden-Württemberg,2020-05-04,1421.0,32411
Baden-Württemberg,2020-05-05,1452.0,32482
Baden-Württemberg,2020-05-06,1481.0,32576
Baden-Württemberg,2020-05-07,1497.0,32762
Baden-Württemberg,2020-05-08,1515.0,32898
Baden-Württemberg,2020-05-09,1534.0,33105
Baden-Württemberg,2020-05-10,1542.0,33287
Baden-Württemberg,2020-05-11,1545.0,33190
Baden-Württemberg,2020-05-12,1568.0,33359
Baden-Württemberg,2020-05-13,1594.0,33518
Baden-Württemberg,2020-05-14,1608.0,33670
Baden-Württemberg,2020-05-15,1628.0,33851
Baden-Württemberg,2020-05-16,1644.0,33893
Baden-Württemberg,2020-05-17,1648.0,33950
Baden-Württemberg,2020-05-18,1652.0,34000
Baden-Württemberg,2020-05-19,1653.0,34034
Baden-Württemberg,2020-05-20,1672.0,34115
Baden-Württemberg,2020-05-21,1680.0,34175
Baden-Württemberg,2020-05-22,1680.0,34174
Baden-Württemberg,2020-05-23,1692.0,34345
Baden-Württemberg,2020-05-24,1697.0,34399
Baden-Württemberg,2020-05-25,1698.0,34431
Baden-Württemberg,2020-05-26,1707.0,34466
Baden-Württemberg,2020-05-27,1724.0,34500
Baden-Württemberg,2020-05-28,1724.0,34129
Baden-Württemberg,2020-05-29,1743.0,34479
Baden-Württemberg,2020-05-30,1748.0,34718
Baden-Württemberg,2020-05-31,1748.0,34718
Baden-Württemberg,2020-06-01,1752.0,34784
Baden-Württemberg,2020-06-02,1758.0,34796
Baden-Württemberg,2020-06-03,1760.0,34813
Baden-Württemberg,2020-06-04,1761.0,34830
Baden-Württemberg,2020-06-05,1778.0,34870
Baden-Württemberg,2020-06-06,1790.0,34898
Baden-Württemberg,2020-06-07,1791.0,34912
Baden-Württemberg,2020-06-08,1791.0,34937
Baden-Württemberg,2020-06-09,1795.0,34958
Baden-Württemberg,2020-06-10,1798.0,34965
Baden-Württemberg,2020-06-11,1801.0,35002
Baden-Württemberg,2020-06-12,1802.0,35057
Baden-Württemberg,2020-06-13,1805.0,35090
Baden-Württemberg,2020-06-14,1805.0,35090
Baden-Württemberg,2020-06-15,1805.0,35090
Baden-Württemberg,2020-06-16,1808.0,35150
Baden-Württemberg,2020-06-17,1811.0,35177
Baden-Württemberg,2020-06-18,1816.0,35218
Baden-Württemberg,2020-06-19,1821.0,35236
Baden-Württemberg,2020-06-20,1824.0,35272
Baden-Württemberg,2020-06-21,1824.0,35272
Baden-Württemberg,2020-06-22,1824.0,35272
Baden-Württemberg,2020-06-23,1826.0,35365
Baden-Württemberg,2020-06-24,1826.0,35409
Baden-Württemberg,2020-06-25,1827.0,35446
Baden-Württemberg,2020-06-26,1830.0,35476
Baden-Württemberg,2020-06-27,1829.0,35530
Baden-Württemberg,2020-06-28,1829.0,35530
Baden-Württemberg,2020-06-29,1829.0,35530
Baden-Württemberg,2020-06-30,1830.0,35620
Baden-Württemberg,2020-07-01,1838.0,35694
Baden-Württemberg,2020-07-02,1838.0,35744
Baden-Württemberg,2020-07-03,1839.0,35771
Bayern,2020-02-29,0.0,15
Bayern,2020-03-01,0.0,23
Bayern,2020-03-02,0.0,25
Bayern,2020-03-03,0.0,37
Bayern,2020-03-04,0.0,48
Bayern,2020-03-05,0.0,70
Bayern,2020-03-06,0.0,117
Bayern,2020-03-07,0.0,134
Bayern,2020-03-08,0.0,172
Bayern,2020-03-09,0.0,256
Bayern,2020-03-10,0.0,314
Bayern,2020-03-11,0.0,366
Bayern,2020-03-12,1.0,500
Bayern,2020-03-13,1.0,558
Bayern,2020-03-14,1.0,681
Bayern,2020-03-15,4.0,886
Bayern,2020-03-16,5.0,1067
Bayern,2020-03-17,4.0,1109
Bayern,2020-03-18,4.0,1243
Bayern,2020-03-19,8.0,1692
Bayern,2020-03-20,12.0,2401
Bayern,2020-03-21,19.0,2960
Bayern,2020-03-22,21.0,3650
Bayern,2020-03-23,26.0,4892
Bayern,2020-03-24,30.0,5754
Bayern,2020-03-25,37.0,6558
Bayern,2020-03-26,47.0,7993
Bayern,2020-03-27,55.0,9481
Bayern,2020-03-28,77.0,11150
Bayern,2020-03-29,107.0,12881
Bayern,2020-03-30,127.0,13989
Bayern,2020-03-31,162.0,14810
Bayern,2020-04-01,225.0,16497
Bayern,2020-04-02,268.0,18496
Bayern,2020-04-03,307.0,20237
Bayern,2020-04-04,349.0,21908
Bayern,2020-04-05,396.0,23846
Bayern,2020-04-06,437.0,24974
Bayern,2020-04-07,481.0,26163
Bayern,2020-04-08,564.0,27564
Bayern,2020-04-09,635.0,28827
Bayern,2020-04-10,703.0,30363
Bayern,2020-04-11,747.0,31453
Bayern,2020-04-12,786.0,32282
Bayern,2020-04-13,820.0,33015
Bayern,2020-04-14,872.0,33569
Bayern,2020-04-15,954.0,34294
Bayern,2020-04-16,1049.0,35142
Bayern,2020-04-17,1137.0,36027
Bayern,2020-04-18,1198.0,36881
Bayern,2020-04-19,1256.0,37407
Bayern,2020-04-20,1286.0,37849
Bayern,2020-04-21,1336.0,38310
Bayern,2020-04-22,1424.0,38814
Bayern,2020-04-23,1476.0,39395
Bayern,2020-04-24,1525.0,39939
Bayern,2020-04-25,1566.0,40547
Bayern,2020-04-26,1596.0,40912
Bayern,2020-04-27,1621.0,41070
Bayern,2020-04-28,1681.0,41406
Bayern,2020-04-29,1754.0,41830
Bayern,2020-04-30,1799.0,42080
Bayern,2020-05-01,1850.0,42489
Bayern,2020-05-02,1885.0,42658
Bayern,2020-05-03,1910.0,42792
Bayern,2020-05-04,1926.0,42997
Bayern,2020-05-05,1949.0,43162
Bayern,2020-05-06,2001.0,43371
Bayern,2020-05-07,2050.0,43658
Bayern,2020-05-08,2114.0,43905
Bayern,2020-05-09,2147.0,44169
Bayern,2020-05-10,2153.0,44265
Bayern,2020-05-11,2155.0,44368
Bayern,2020-05-12,2182.0,44593
Bayern,2020-05-13,2209.0,44802
Bayern,2020-05-14,2229.0,44980
Bayern,2020-05-15,2260.0,45143
Bayern,2020-05-16,2273.0,45340
Bayern,2020-05-17,2283.0,45427
Bayern,2020-05-18,2287.0,45507
Bayern,2020-05-19,2314.0,45639
Bayern,2020-05-20,2339.0,45766
Bayern,2020-05-21,2348.0,45929
Bayern,2020-05-22,2358.0,46024
Bayern,2020-05-23,2367.0,46132
Bayern,2020-05-24,2377.0,46206
Bayern,2020-05-25,2382.0,46326
Bayern,2020-05-26,2401.0,46456
Bayern,2020-05-27,2404.0,46458
Bayern,2020-05-28,2438.0,46729
Bayern,2020-05-29,2441.0,46809
Bayern,2020-05-30,2450.0,46854
Bayern,2020-05-31,2450.0,46917
Bayern,2020-06-01,2451.0,47004
Bayern,2020-06-02,2456.0,47029
Bayern,2020-06-03,2466.0,47138
Bayern,2020-06-04,2479.0,47209
Bayern,2020-06-05,2481.0,47268
Bayern,2020-06-06,2489.0,47326
Bayern,2020-06-07,2501.0,47334
Bayern,2020-06-08,2505.0,47371
Bayern,2020-06-09,2521.0,47423
Bayern,2020-06-10,2531.0,47479
Bayern,2020-06-11,2536.0,47536
Bayern,2020-06-12,2538.0,47574
Bayern,2020-06-13,2540.0,47612
Bayern,2020-06-14,2541.0,47626
Bayern,2020-06-15,2541.0,47642
Bayern,2020-06-16,2540.0,47690
Bayern,2020-06-17,2546.0,47710
Bayern,2020-06-18,2556.0,47747
Bayern,2020-06-19,2562.0,47799
Bayern,2020-06-20,2566.0,47827
Bayern,2020-06-21,2565.0,47843
Bayern,2020-06-22,2567.0,47867
Bayern,2020-06-23,2571.0,47894
Bayern,2020-06-24,2578.0,47995
Bayern,2020-06-25,2583.0,48122
Bayern,2020-06-26,2594.0,48202
Bayern,2020-06-27,2591.0,48262
Bayern,2020-06-28,2592.0,48294
Bayern,2020-06-29,2592.0,48344
Bayern,2020-06-30,2594.0,48400
Bayern,2020-07-01,2594.0,48480
Bayern,2020-07-02,2597.0,48547
Bayern,2020-07-03,2598.0,48587
Berlin,2020-03-02,0.0,1
Berlin,2020-03-03,0.0,3
Berlin,2020-03-04,0.0,7
Berlin,2020-03-05,0.0,13
Berlin,2020-03-06,0.0,19
Berlin,2020-03-07,0.0,28
Berlin,2020-03-08,0.0,40
Berlin,2020-03-09,0.0,48
Berlin,2020-03-10,0.0,48
Berlin,2020-03-11,0.0,90
Berlin,2020-03-12,0.0,137
Berlin,2020-03-13,0.0,174
Berlin,2020-03-14,0.0,216
Berlin,2020-03-15,0.0,265
Berlin,2020-03-16,0.0,300
Berlin,2020-03-17,0.0,345
Berlin,2020-03-18,0.0,391
Berlin,2020-03-19,0.0,573
Berlin,2020-03-20,0.0,731
Berlin,2020-03-21,1.0,866
Berlin,2020-03-22,1.0,1024
Berlin,2020-03-23,1.0,1077
Berlin,2020-03-24,1.0,1220
Berlin,2020-03-25,2.0,1428
Berlin,2020-03-26,4.0,1656
Berlin,2020-03-27,8.0,1955
Berlin,2020-03-28,8.0,2161
Berlin,2020-03-29,9.0,2360
Berlin,2020-03-30,11.0,2464
Berlin,2020-03-31,13.0,2575
Berlin,2020-04-01,16.0,2754
Berlin,2020-04-02,19.0,2970
Berlin,2020-04-03,20.0,3202
Berlin,2020-04-04,22.0,3471
Berlin,2020-04-05,24.0,3613
Berlin,2020-04-06,26.0,3670
Berlin,2020-04-07,28.0,3845
Berlin,2020-04-08,32.0,4028
Berlin,2020-04-09,37.0,4202
Berlin,2020-04-10,42.0,4349
Berlin,2020-04-11,46.0,4458
Berlin,2020-04-12,50.0,4567
Berlin,2020-04-13,51.0,4601
Berlin,2020-04-14,56.0,4668
Berlin,2020-04-15,62.0,4722
Berlin,2020-04-16,74.0,4848
Berlin,2020-04-17,84.0,4945
Berlin,2020-04-18,91.0,5066
Berlin,2020-04-19,92.0,5159
Berlin,2020-04-20,94.0,5196
Berlin,2020-04-21,97.0,5237
Berlin,2020-04-22,105.0,5312
Berlin,2020-04-23,105.0,5324
Berlin,2020-04-24,112.0,5459
Berlin,2020-04-25,113.0,5525
Berlin,2020-04-26,123.0,5600
Berlin,2020-04-27,125.0,5638
Berlin,2020-04-28,127.0,5669
Berlin,2020-04-29,137.0,5734
Berlin,2020-04-30,147.0,5827
Berlin,2020-05-01,149.0,5887
Berlin,2020-05-02,152.0,5943
Berlin,2020-05-03,154.0,5976
Berlin,2020-05-04,154.0,6010
Berlin,2020-05-05,154.0,6042
Berlin,2020-05-06,159.0,6092
Berlin,2020-05-07,162.0,6149
Berlin,2020-05-08,163.0,6209
Berlin,2020-05-09,164.0,6242
Berlin,2020-05-10,165.0,6261
Berlin,2020-05-11,165.0,6272
Berlin,2020-05-12,165.0,6274
Berlin,2020-05-13,170.0,6298
Berlin,2020-05-14,173.0,6342
Berlin,2020-05-15,177.0,6397
Berlin,2020-05-16,181.0,6428
Berlin,2020-05-17,182.0,6447
Berlin,2020-05-18,180.0,6458
Berlin,2020-05-19,182.0,6478
Berlin,2020-05-20,186.0,6507
Berlin,2020-05-21,186.0,6555
Berlin,2020-05-22,190.0,6585
Berlin,2020-05-23,190.0,6614
Berlin,2020-05-24,191.0,6637
Berlin,2020-05-25,191.0,6642
Berlin,2020-05-26,191.0,6652
Berlin,2020-05-27,193.0,6673
Berlin,2020-05-28,195.0,6703
Berlin,2020-05-29,196.0,6738
Berlin,2020-05-30,197.0,6767
Berlin,2020-05-31,198.0,6800
Berlin,2020-06-01,198.0,6816
Berlin,2020-06-02,198.0,6839
Berlin,2020-06-03,198.0,6874
Berlin,2020-06-04,200.0,6901
Berlin,2020-06-05,200.0,6946
Berlin,2020-06-06,201.0,6964
Berlin,2020-06-07,205.0,6997
Berlin,2020-06-08,205.0,7016
Berlin,2020-06-09,205.0,7042
Berlin,2020-06-10,206.0,7082
Berlin,2020-06-11,208.0,7138
Berlin,2020-06-12,208.0,7165
Berlin,2020-06-13,208.0,7252
Berlin,2020-06-14,208.0,7282
Berlin,2020-06-15,208.0,7322
Berlin,2020-06-16,208.0,7369
Berlin,2020-06-17,209.0,7402
Berlin,2020-06-18,210.0,7475
Berlin,2020-06-19,211.0,7603
Berlin,2020-06-20,211.0,7733
Berlin,2020-06-21,211.0,7804
Berlin,2020-06-22,211.0,7833
Berlin,2020-06-23,211.0,7916
Berlin,2020-06-24,211.0,7975
Berlin,2020-06-25,212.0,8021
Berlin,2020-06-26,212.0,8096
Berlin,2020-06-27,213.0,8145
Berlin,2020-06-28,213.0,8168
Berlin,2020-06-29,213.0,8176
Berlin,2020-06-30,214.0,8220
Berlin,2020-07-01,214.0,8243
Berlin,2020-07-02,214.0,8302
Berlin,2020-07-03,214.0,8345
Brandenburg,2020-03-03,0.0,1
Brandenburg,2020-03-04,0.0,1
Brandenburg,2020-03-05,0.0,1
Brandenburg,2020-03-06,0.0,2
Brandenburg,2020-03-07,0.0,2
Brandenburg,2020-03-08,0.0,4
Brandenburg,2020-03-09,0.0,6
Brandenburg,2020-03-10,0.0,9
Brandenburg,2020-03-11,0.0,24
Brandenburg,2020-03-12,0.0,30
Brandenburg,2020-03-13,0.0,44
Brandenburg,2020-03-14,0.0,61
Brandenburg,2020-03-15,0.0,84
Brandenburg,2020-03-16,0.0,94
Brandenburg,2020-03-17,0.0,73
Brandenburg,2020-03-18,0.0,92
Brandenburg,2020-03-19,0.0,134
Brandenburg,2020-03-20,0.0,192
Brandenburg,2020-03-21,0.0,254
Brandenburg,2020-03-22,0.0,274
Brandenburg,2020-03-23,0.0,288
Brandenburg,2020-03-24,0.0,343
Brandenburg,2020-03-25,1.0,429
Brandenburg,2020-03-26,1.0,477
Brandenburg,2020-03-27,1.0,537
Brandenburg,2020-03-28,1.0,645
Brandenburg,2020-03-29,1.0,721
Brandenburg,2020-03-30,2.0,761
Brandenburg,2020-03-31,2.0,798
Brandenburg,2020-04-01,4.0,881
Brandenburg,2020-04-02,7.0,995
Brandenburg,2020-04-03,9.0,1075
Brandenburg,2020-04-04,12.0,1211
Brandenburg,2020-04-05,17.0,1305
Brandenburg,2020-04-06,19.0,1345
Brandenburg,2020-04-07,20.0,1384
Brandenburg,2020-04-08,22.0,1472
Brandenburg,2020-04-09,30.0,1578
Brandenburg,2020-04-10,37.0,1691
Brandenburg,2020-04-11,37.0,1764
Brandenburg,2020-04-12,38.0,1857
Brandenburg,2020-04-13,38.0,1880
Brandenburg,2020-04-14,40.0,1916
Brandenburg,2020-04-15,42.0,1950
Brandenburg,2020-04-16,54.0,2058
Brandenburg,2020-04-17,60.0,2120
Brandenburg,2020-04-18,62.0,2161
Brandenburg,2020-04-19,66.0,2221
Brandenburg,2020-04-20,66.0,2238
Brandenburg,2020-04-21,67.0,2275
Brandenburg,2020-04-22,74.0,2389
Brandenburg,2020-04-23,84.0,2447
Brandenburg,2020-04-24,90.0,2536
Brandenburg,2020-04-25,97.0,2627
Brandenburg,2020-04-26,100.0,2694
Brandenburg,2020-04-27,100.0,2721
Brandenburg,2020-04-28,106.0,2747
Brandenburg,2020-04-29,109.0,2768
Brandenburg,2020-04-30,113.0,2831
Brandenburg,2020-05-01,120.0,2872
Brandenburg,2020-05-02,122.0,2886
Brandenburg,2020-05-03,122.0,2905
Brandenburg,2020-05-04,122.0,2914
Brandenburg,2020-05-05,123.0,2940
Brandenburg,2020-05-06,127.0,2969
Brandenburg,2020-05-07,129.0,2999
Brandenburg,2020-05-08,131.0,3037
Brandenburg,2020-05-09,133.0,3098
Brandenburg,2020-05-10,134.0,3101
Brandenburg,2020-05-11,134.0,3106
Brandenburg,2020-05-12,136.0,3111
Brandenburg,2020-05-13,137.0,3125
Brandenburg,2020-05-14,138.0,3135
Brandenburg,2020-05-15,148.0,3158
Brandenburg,2020-05-16,149.0,3169
Brandenburg,2020-05-17,149.0,3171
Brandenburg,2020-05-18,149.0,3172
Brandenburg,2020-05-19,150.0,3185
Brandenburg,2020-05-20,151.0,3193
Brandenburg,2020-05-21,151.0,3205
Brandenburg,2020-05-22,152.0,3211
Brandenburg,2020-05-23,154.0,3213
Brandenburg,2020-05-24,154.0,3214
Brandenburg,2020-05-25,154.0,3214
Brandenburg,2020-05-26,154.0,3236
Brandenburg,2020-05-27,154.0,3246
Brandenburg,2020-05-28,155.0,3261
Brandenburg,2020-05-29,155.0,3271
Brandenburg,2020-05-30,155.0,3266
Brandenburg,2020-05-31,155.0,3271
Brandenburg,2020-06-01,155.0,3273
Brandenburg,2020-06-02,155.0,3274
Brandenburg,2020-06-03,156.0,3273
Brandenburg,2020-06-04,156.0,3280
Brandenburg,2020-06-05,156.0,3288
Brandenburg,2020-06-06,158.0,3294
Brandenburg,2020-06-07,158.0,3297
Brandenburg,2020-06-08,160.0,3304
Brandenburg,2020-06-09,160.0,3302
Brandenburg,2020-06-10,160.0,3309
Brandenburg,2020-06-11,161.0,3352
Brandenburg,2020-06-12,161.0,3306
Brandenburg,2020-06-13,163.0,3326
Brandenburg,2020-06-14,163.0,3326
Brandenburg,2020-06-15,163.0,3329
Brandenburg,2020-06-16,163.0,3334
Brandenburg,2020-06-17,163.0,3362
Brandenburg,2020-06-18,163.0,3365
Brandenburg,2020-06-19,163.0,3374
Brandenburg,2020-06-20,163.0,3383
Brandenburg,2020-06-21,163.0,3388
Brandenburg,2020-06-22,163.0,3394
Brandenburg,2020-06-23,164.0,3407
Brandenburg,2020-06-24,164.0,3413
Brandenburg,2020-06-25,165.0,3428
Brandenburg,2020-06-26,165.0,3437
Brandenburg,2020-06-27,165.0,3437
Brandenburg,2020-06-28,165.0,3417
Brandenburg,2020-06-29,165.0,3419
Brandenburg,2020-06-30,165.0,3429
Brandenburg,2020-07-01,165.0,3440
Brandenburg,2020-07-02,165.0,3443
Brandenburg,2020-07-03,166.0,3450
Bremen,2020-03-01,0.0,1
Bremen,2020-03-02,0.0,1
Bremen,2020-03-03,0.0,2
Bremen,2020-03-04,0.0,3
Bremen,2020-03-05,0.0,3
Bremen,2020-03-06,0.0,4
Bremen,2020-03-07,0.0,4
Bremen,2020-03-08,0.0,4
Bremen,2020-03-09,0.0,4
Bremen,2020-03-10,0.0,4
Bremen,2020-03-11,0.0,21
Bremen,2020-03-12,0.0,38
Bremen,2020-03-13,0.0,42
Bremen,2020-03-14,0.0,50
Bremen,2020-03-15,0.0,53
Bremen,2020-03-16,0.0,56
Bremen,2020-03-17,0.0,57
Bremen,2020-03-18,0.0,69
Bremen,2020-03-19,0.0,80
Bremen,2020-03-20,0.0,121
Bremen,2020-03-21,0.0,142
Bremen,2020-03-22,0.0,165
Bremen,2020-03-23,0.0,170
Bremen,2020-03-24,0.0,183
Bremen,2020-03-25,0.0,200
Bremen,2020-03-26,1.0,211
Bremen,2020-03-27,1.0,241
Bremen,2020-03-28,2.0,260
Bremen,2020-03-29,2.0,275
Bremen,2020-03-30,2.0,286
Bremen,2020-03-31,4.0,294
Bremen,2020-04-01,5.0,311
Bremen,2020-04-02,6.0,327
Bremen,2020-04-03,6.0,341
Bremen,2020-04-04,6.0,354
Bremen,2020-04-05,6.0,394
Bremen,2020-04-06,8.0,397
Bremen,2020-04-07,9.0,399
Bremen,2020-04-08,10.0,424
Bremen,2020-04-09,11.0,445
Bremen,2020-04-10,13.0,454
Bremen,2020-04-11,15.0,469
Bremen,2020-04-12,15.0,480
Bremen,2020-04-13,17.0,486
Bremen,2020-04-14,20.0,492
Bremen,2020-04-15,21.0,500
Bremen,2020-04-16,21.0,507
Bremen,2020-04-17,22.0,556
Bremen,2020-04-18,24.0,567
Bremen,2020-04-19,25.0,585
Bremen,2020-04-20,25.0,604
Bremen,2020-04-21,25.0,609
Bremen,2020-04-22,26.0,624
Bremen,2020-04-23,27.0,672
Bremen,2020-04-24,27.0,707
Bremen,2020-04-25,27.0,719
Bremen,2020-04-26,27.0,739
Bremen,2020-04-27,27.0,754
Bremen,2020-04-28,27.0,759
Bremen,2020-04-29,29.0,797
Bremen,2020-04-30,29.0,827
Bremen,2020-05-01,30.0,859
Bremen,2020-05-02,30.0,871
Bremen,2020-05-03,30.0,875
Bremen,2020-05-04,30.0,893
Bremen,2020-05-05,31.0,895
Bremen,2020-05-06,31.0,916
Bremen,2020-05-07,32.0,963
Bremen,2020-05-08,32.0,997
Bremen,2020-05-09,32.0,1024
Bremen,2020-05-10,32.0,1043
Bremen,2020-05-11,34.0,1055
Bremen,2020-05-12,35.0,1058
Bremen,2020-05-13,36.0,1077
Bremen,2020-05-14,37.0,1104
Bremen,2020-05-15,37.0,1129
Bremen,2020-05-16,37.0,1150
Bremen,2020-05-17,37.0,1164
Bremen,2020-05-18,38.0,1171
Bremen,2020-05-19,38.0,1237
Bremen,2020-05-20,38.0,1256
Bremen,2020-05-21,39.0,1273
Bremen,2020-05-22,39.0,1291
Bremen,2020-05-23,41.0,1296
Bremen,2020-05-24,41.0,1299
Bremen,2020-05-25,41.0,1312
Bremen,2020-05-26,42.0,1313
Bremen,2020-05-27,42.0,1322
Bremen,2020-05-28,41.0,1348
Bremen,2020-05-29,41.0,1372
Bremen,2020-05-30,42.0,1398
Bremen,2020-05-31,42.0,1398
Bremen,2020-06-01,42.0,1398
Bremen,2020-06-02,42.0,1436
Bremen,2020-06-03,43.0,1447
Bremen,2020-06-04,44.0,1462
Bremen,2020-06-05,44.0,1498
Bremen,2020-06-06,44.0,1513
Bremen,2020-06-07,44.0,1517
Bremen,2020-06-08,44.0,1531
Bremen,2020-06-09,43.0,1532
Bremen,2020-06-10,43.0,1547
Bremen,2020-06-11,43.0,1565
Bremen,2020-06-12,45.0,1573
Bremen,2020-06-13,45.0,1581
Bremen,2020-06-14,46.0,1589
Bremen,2020-06-15,48.0,1592
Bremen,2020-06-16,48.0,1593
Bremen,2020-06-17,49.0,1607
Bremen,2020-06-18,49.0,1619
Bremen,2020-06-19,49.0,1626
Bremen,2020-06-20,49.0,1636
Bremen,2020-06-21,49.0,1645
Bremen,2020-06-22,49.0,1648
Bremen,2020-06-23,49.0,1654
Bremen,2020-06-24,49.0,1653
Bremen,2020-06-25,49.0,1653
Bremen,2020-06-26,49.0,1658
Bremen,2020-06-27,50.0,1659
Bremen,2020-06-28,50.0,1661
Bremen,2020-06-29,50.0,1661
Bremen,2020-06-30,53.0,1662
Bremen,2020-07-01,53.0,1667
Bremen,2020-07-02,53.0,1670
Bremen,2020-07-03,53.0,1675
Hamburg,2020-03-01,0.0,1
Hamburg,2020-03-02,0.0,1
Hamburg,2020-03-03,0.0,2
Hamburg,2020-03-04,0.0,3
Hamburg,2020-03-05,0.0,5
Hamburg,2020-03-06,0.0,11
Hamburg,2020-03-07,0.0,13
Hamburg,2020-03-08,0.0,13
Hamburg,2020-03-09,0.0,17
Hamburg,2020-03-10,0.0,29
Hamburg,2020-03-11,0.0,48
Hamburg,2020-03-12,0.0,88
Hamburg,2020-03-13,0.0,99
Hamburg,2020-03-14,0.0,158
Hamburg,2020-03-15,0.0,162
Hamburg,2020-03-16,0.0,260
Hamburg,2020-03-17,0.0,310
Hamburg,2020-03-18,0.0,358
Hamburg,2020-03-19,0.0,432
Hamburg,2020-03-20,0.0,586
Hamburg,2020-03-21,0.0,587
Hamburg,2020-03-22,0.0,872
Hamburg,2020-03-23,0.0,943
Hamburg,2020-03-24,0.0,1043
Hamburg,2020-03-25,0.0,1262
Hamburg,2020-03-26,0.0,1265
Hamburg,2020-03-27,2.0,1693
Hamburg,2020-03-28,2.0,1765
Hamburg,2020-03-29,4.0,1846
Hamburg,2020-03-30,5.0,2053
Hamburg,2020-03-31,9.0,2191
Hamburg,2020-04-01,14.0,2311
Hamburg,2020-04-02,14.0,2406
Hamburg,2020-04-03,16.0,2596
Hamburg,2020-04-04,16.0,2697
Hamburg,2020-04-05,19.0,2945
Hamburg,2020-04-06,19.0,2993
Hamburg,2020-04-07,20.0,3059
Hamburg,2020-04-08,23.0,3165
Hamburg,2020-04-09,44.0,3320
Hamburg,2020-04-10,53.0,3551
Hamburg,2020-04-11,56.0,3663
Hamburg,2020-04-12,56.0,3742
Hamburg,2020-04-13,56.0,3770
Hamburg,2020-04-14,59.0,3808
Hamburg,2020-04-15,67.0,3869
Hamburg,2020-04-16,80.0,3953
Hamburg,2020-04-17,84.0,4005
Hamburg,2020-04-18,90.0,4118
Hamburg,2020-04-19,91.0,4167
Hamburg,2020-04-20,91.0,4185
Hamburg,2020-04-21,91.0,4204
Hamburg,2020-04-22,91.0,4204
Hamburg,2020-04-23,113.0,4286
Hamburg,2020-04-24,122.0,4358
Hamburg,2020-04-25,139.0,4400
Hamburg,2020-04-26,140.0,4429
Hamburg,2020-04-27,142.0,4475
Hamburg,2020-04-28,142.0,4505
Hamburg,2020-04-29,153.0,4525
Hamburg,2020-04-30,155.0,4562
Hamburg,2020-05-01,163.0,4604
